Code,Tweet
Neither,ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/nvPuOPmBlN  ABC cancels 'Roseanne' Roseanne Barr apol... https://t.co/9pC0Sfop14
Neither,@CillizzaCNN @KeithOlbermann  everyday on folks he disagrees with .... yet @CillizzaCNN and @ABC thinks only Rosean... https://t.co/h8K8ECAxZI
Neither,ABC cancels 'Roseanne' after TV star tweets racial slur https://t.co/twSpOHXtfb https://t.co/hUZhFaTgDj
Neither,FOX is gonna pick up Roseanne lol
Neither,@LadyBabs07 @therealroseanne @ABC  https://t.co/7Zw1Yj8QEL
Neither,.@therealroseanne https://t.co/RxqGMqqbbS
Neither,@therealroseanne thought it was funny...guess all comedians need to held to the same standard...but they won't be b... https://t.co/8eGKokUBdt
Neither,Roseanne
Anti-Roseanne,"y'all thought a fat bitch named ""Roseanne "" wouldn't be racist?"
Neither,RoseanneCancelled
Neither,Roseanne
Neither,Roseanne https://t.co/1i7AixarZB
Neither,@V4V1ndetta @ACNickel @intheMatrixxx @therealroseanne @ChelseaClinton @POTUS I have already done so...... https://t.co/U1GT8052j3
Anti-Roseanne,Roseanne has been cancelled!!! Thank god!
Neither,@therealroseanne
Neither,Roseanne
Pro-Roseanne,@therealroseanne I STILL LOVE YOU! GONNA MISS YOU
Anti-Roseanne,@therealroseanne Goodbye you racist bitch!!
Neither,@filmystic @therealroseanne Look up the tv show Valerie. After failed contract renegotiations
Neither,@BubbaLeroy69 @Donnam8470Donna @JackPosobiec @therealroseanne Yeah put her in the ape movie
Anti-Roseanne,Don't worry there's a place on Trump's cabinet for you... https://t.co/q4ZWBa4WEg
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,@null ABC cancels 'Roseanne' after TV star tweets racial slur LOS ANGELES (Reuters) -   https://t.co/MCu5WqTL9b
Neither,Noticia
Neither,ABC Cancels 'Roseanne' After Star's Racist Tweet via @NYTimes https://t.co/ROATc24Hgj
Neither,@BlakeCarson7 @KayaJones @therealroseanne I wonder if she gave @kathygriffin the 'we're all just humans and make mi... https://t.co/ITd6hM1rqi
Neither,Indiana105
Neither,@therealroseanne ABC cancels 'Roseanne' following star's racist comments - Los Angeles Timeshttps://apple.news/A-X4eCyHQSp-1KgK8pwAXow
Neither,@baskounet Une s  rie 'Roseanne'  cheh !
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,Wegen rassistischem Tweet: 'Roseanne' wird abgesetzt https://t.co/8hMAZQAJRk https://t.co/ECvWYu2puo
Pro-Roseanne,@Jordan_Sather_ @therealroseanne She is a true consciousness HERO! A huge force for mass consciousness awakening! S... https://t.co/undk8q72OR
Neither,Roseanne    cancelada pela ABC ap  s coment  rios racistas de Roseanne Barr https://t.co/KssRVZ9D4X https://t.co/KJj79IHV4v
Neither,A new article found and posted on https://t.co/3g3Cf5s7jG
Neither,@ClayTravis @KeithOlbermann @realDonaldTrump @espn @therealroseanne They're very fragile clay be-careful not to hur... https://t.co/lfEWg8xFoL
Neither,@BruceBartlett Fox TV is not Fox News I wouldn't bet on a Roseanne pickup there.
Anti-Roseanne,Thanks to @therealroseanne I just became a @ValerieJarrett follower! :)
Neither,Roseanne
Neither,RT BrianKSNT : ABC has cancelled its hit reboot of 'Roseanne' following her racist tweet about former Obama adviser... https://t.co/Nd2c0AU7t6
Neither,@TheGoodGodAbove @therealroseanne  https://t.co/lLt3ew0Ws6
Neither,@GehennaHelena @ABC @RoseanneOnABC @therealroseanne @ValerieJarrett LMAO! This is actually funny. I have a great ba... https://t.co/Vioo93qD5b
Neither,TrumpSupporter
Neither,@jeannemb1963 @MichaelSkolnik @ABC @Disney @therealroseanne Most the shot on Disney isn't normal anymore! Some twisted bullshit!
Neither,@TheRitaMoreno @therealroseanne she can take some lessons on how to be a 'classy' truth-teller from you. But then a... https://t.co/mNnDQt13gC
Anti-Roseanne,@KEEMSTAR @therealroseanne She's racist.
Anti-Roseanne,@therealroseanne This isn't an apology. About her looks? So... https://t.co/kfgeWNJylW
Neither,Here's a long-distance dedication going out to Roseanne Barr! https://t.co/KArLTcWv3z
Pro-Roseanne,@therealroseanne Ok you made a mistake but you have a lot of followers who like your attitude... I for one do.  Las... https://t.co/LcN8435vTm
Neither,Roseanne Barr quits Twitter again after comparing former Obama adviser to an ape in racist rant - The Independent  https://t.co/FQ4eNiGj7F
Neither,@EfCovfefe @therealroseanne Lazy ass people. Do your research. She is not. Have some life goals for gods sake.
Neither,@GardenGuy82 @Amandam2941Lynn @overthewall1630 @soonerrick @BethB1213 @therealroseanne @ABCNetwork  https://t.co/2acHAIl6gS
Neither,Replacing Roseanne with me would be pretty revolutionary @ABCNetwork! Just saying!
Neither,@therealroseanne @ChelseaClinton @OpenSociety Were you aware he was 14 in 1945?
Neither,@starshine731 @MichaelSkolnik @glenda_pollock @ABC @Disney @therealroseanne Sarah Gilbert did come out and bash Ros... https://t.co/OTBNCbHsAv
Anti-Roseanne,@lindsayyceckert Roseanne should have to pay them since it's her fault
Neither,I AM CACKLING https://t.co/AkLTaZHzYY
Pro-Roseanne,@ABCNetwork you just made a bad move with @therealroseanne and the 2nd season!  Hypocrites!
Pro-Roseanne,@KayaJones @therealroseanne Is ABC that delicate? Roseanne spoke the truth. Jarrett is Muslim. Her immediate family... https://t.co/6ofsoJ0T54
Neither,After Racist Tweet by Roseanne Barr
Anti-Roseanne,NeverLikedHer
Neither,personal
Neither,@CillizzaCNN What was Roseanne doing ON you this morning?
Neither,WTF  https://t.co/o7yHepugmg
Neither,@deemxreckless Could've been replaced. Those die hard Roseanne fans weren't going to stop watching. If anything she... https://t.co/bM9OVjrRFZ
Neither,@BrookeEslick @RoseanneOnABC @ABCNetwork @THEsaragilbert Yep. My mom's suggestion when I texted her about it was
Neither,BreakingNews
Neither,ABC cancela la serie 'Roseanne' tras un comentario racista de su protagonista https://t.co/AIbuBbcE6q https://t.co/X1y5XStCTR
Neither,@muevegirljackie @therealroseanne I don't think I supported anyone in my response.  Check that for me and let me kn... https://t.co/u9ZqNRhyRo
Neither,@atBtru2U @therealroseanne @POTUS Who took the pics on board AF1 on route to Asia then? It's not Pence.
Neither,@jefferyclark @FoxNews @JessicaTarlov @therealroseanne It's not simply about a foul joke. Kathy Griffin was also fi... https://t.co/aq375ptR0W
Neither,@KayaJones @ABCNetwork @jimmykimmel @FLOTUS @therealroseanne @LeahR77 @ABC  https://t.co/jv2EoJ7r4S
Neither,@tonystory2004 @DawnaldT @SecOfState70 @jimmykimmel @JimmyKimmelLive @ABC @therealroseanne @WaltDisneyCo Well it's... https://t.co/0iBfBVPOdY
Anti-Roseanne,@politico @therealroseanne just cost an entire cast and crew their jobs.  Every grip PA@politico @therealroseanne just cost an entire cast and crew their jobs.  Every grip PA assistant... https://t.co/zdOGoXieCU
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant - CNN Money https://t.co/qKcBSRluLT
Neither,so roseanne's gone when are we getting that ableist misogynist shitfire big bang theory cancelled
Pro-Roseanne,@therealroseanne Roseanne
Neither,@stacebulls I feel bad for the other cast and crew out of a job. That blows. I hope they land somewhere else soon.... https://t.co/W79XIGl1wM
Neither,@therealroseanne @DonaldJTrumpJr @ChelseaClinton @OpenSociety Junior is so ignorant about everything (like Daddy) t... https://t.co/PIl91yrJQx
Anti-Roseanne,@therealroseanne - your true colors came shining through. You should be ashamed. Write a personal letter
Neither,@therealroseanne your Tweet was quoted in an article by @business  https://t.co/3sxDKYUwFz
Neither,@therealroseanne Why is it ugly trailer park cows like Roseanne throwing shade at pretty
Neither,Roseanne
Neither,AlexInc
Neither,LastManStanding
Neither,@ChelseaClinton @therealroseanne @OpenSociety Web Hubbell ring a bell?
Neither,Another note here is yea. Maybe next time keep it to yourself and don't say anything at all. I mean sometimes you g... https://t.co/K9YP0uS3PE
Neither,@1Jedi_Rey @NatCookResists @TheSWPrincess @therealroseanne @JediMasterDre @MaraJade_2017 @Havok_2O18... https://t.co/YqAiU5qPDK
Neither,That Was Fast! 'Roseanne' Canceled By ABC After Racist Tweet
Neither,So if ABC is owned by Disney and they cancelled Roseanne and now Fox decides to try picking Roseanne up but Disney... https://t.co/Z0ddUVeebn
Neither,Roseanne' cancelled after Barr makes 'bad joke' about Obama aide https://t.co/w92j5p45G3 https://t.co/K5RFO04mzg
Neither,Roseanne
Neither,@REALtrumpbureau @Jess_Luvs_Trump @DonnaWR8 @USAHotLips @ABC @therealroseanne @ArizonaKayte @carrieksada_... https://t.co/wdQ7e9xKTP
Anti-Roseanne,@therealroseanne Nice to see you go. Your racism made others lose their jobs.
Neither,Roseanne canceled by ABC after Roseanne Barr tweets racist remark https://t.co/cGnOfp8NV4 https://t.co/qDkc955lPw
Neither,@MarkDice @therealroseanne Lol
Neither,@doodlebug4845 @dougherty462 @therealroseanne Har har har good one nratv oh man
Neither,@liesandperfidy S11 prologue: actually it was roseanne who died and dan was imagining the whole thing after all. S1... https://t.co/LI22j3i4w9
Neither,Ok. I need to go be productive. Just one more tweet and I'm putting the phone down. @therealroseanne... https://t.co/gtipmlnqHp
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant  - CNNMoney https://t.co/ddbAufnITa
Neither,@therealroseanne Don't worry just like fox pick up Tim Allen's show they'll pick up your show again. The idiot exec... https://t.co/Pa6c0yMOE7
Neither,potustrump
Neither,@therealroseanne Yes best to leave this beast called Twitter
Neither,@FrauWolf @DubeAteo https://t.co/hlwAvpDwmI Nix entschuldigt das hier.
Anti-Roseanne,@KSnow927 @NBCNews I'm sorry....who are we speakng of? So
Neither,ABC cancels 'Roseanne repugnant and inconsistent with our values'... https://t.co/aX0EI8QZgh
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Pro-Roseanne,@therealroseanne Roseanne America still loves you
Pro-Roseanne,@therealroseanne You should not quit roseann his family
Neither,@luchadora41 @TommyLasV @PatriciaforUSA @LaydiHD @eavesdropann @sherrysue66 @POTUS @VP @realDonaldTrump @FoxNews Co... https://t.co/wlkipDOJBF
Neither,I'm old enough to remember when @therealroseanne appeared on the ballot for president under the @peaceandfreedom pa... https://t.co/4icjCKXZyx
Pro-Roseanne,@therealroseanne Then THEY win.  If you leave.  THEY win.  If they can do this to YOU just imagine what... https://t.co/kZB28IDrrU
Neither,A lot of these Russian bots really overestimate how important Roseanne is in the grand scheme of things.
Anti-Roseanne,@politico The rest of the cast should sue her for loss of income! What a sorry piece of shit! @therealroseanne
Anti-Roseanne,Bye bye Roseanne !!!
Neither,@NessiCrocker @OldCrochity @BenDror85 @chbstone2 @1Romans58 @therealroseanne @POTUS How can you justify levelling b... https://t.co/JC53dt2Pa3
Neither,@PatBlanchfield Now the truth will come out
Neither,Welp ...see previous article about how Starbucks' diversity training ain't really gonna do one thing ... Racism/whi... https://t.co/9yyCVj7UIS
Neither,Roseanne
Neither,@denvernight Roseanne was probably just frustrated by what she sees happening in Sweden Germany heck what... https://t.co/DkbTX7W64x
Neither,@thecjpearson @therealroseanne @HillaryClinton Or when @MichelleObama said people don't trust the Republican Party... https://t.co/RIwP6Oc9FX
Neither,Even the saxophone player sounded as if he was tired of Roseanne.... go back and listen to the sitcom's intro song
Anti-Roseanne,Hey sweet gurl @therealroseanne one day u gonna learn ya lesson Roseanne. https://t.co/eYvm4R2vPY
Neither,Nice try but for Roseanne to accurately portray the home life of MAGA people the meltdown would have to end with he... https://t.co/gJgoy8bJeU
Neither,@ConservaMomUSA @RWSalt @therealroseanne @HillaryClinton @ABC @BretBaier please explain if Hilly can say it well
Anti-Roseanne,@FoxNews @therealroseanne You are just a deplorable woman. What a horrible example to your family. You are just too... https://t.co/il3Uyt3yb5
Neither,@SickOfTheSwamp @therealroseanne Bs u will be watching the bachelor trash as soon as its on
Anti-Roseanne,@therealroseanne It's OK
Neither,punishment
Neither,I remember saying on the air that I wasn't here for the Roseanne reboot because she was all for Trump- hilarious to... https://t.co/mmpZVFLFH4
Neither,@therealroseanne https://t.co/2TrhKCNob0
Neither,ROSEANNE
Anti-Roseanne,Roseanne's officially qualified for a position in the Trump administration.
Neither,@PeterArnottGlas Roseanne was the breakout for ABC in ratings this season.
Neither,Roseanne Canceled By ABC After Star's Racist Tweet | CBR https://t.co/n76qOS0T2o
Neither,@justjanedoee @mitch_won @vertigo7804 @duckduckloose @BattleChaplain @soonerrick @DeannaSader @Lani6400 @therealroseanne Ok dude.
Neither,@thebigotbasher @BJSquirrel @BEyedWoman @bigbool1 @pepperjamman1 @PuddnHaid @media_auntie @Ruetheday852 @MM4Cancer... https://t.co/QIByVVPs10
Neither,@sobrien113 @therealroseanne Picked up by Fox tv
Neither,ABC Entertainment cancels Roseanne Barr's show https://t.co/o5FwThvU3P
Neither,TommyRobinson
Neither,"@Purrcival1 @Luvvie @therealroseanne But ""Nobama"" is ok? Nah... he's Cheeto Satan."
Neither,Roseanne
Neither,Its quite interesting to note that Roseanne Barr's comments may be in 'bad taste if a comment about gay or l... https://t.co/uEbd4sx8V4
Neither,Roseanne' Cancelled By ABC After Barr's Racist Tweet https://t.co/pwMKJcP1u7
Neither,@Gavin_McInnes @therealroseanne I think we're all going to say that Roseanne doesn't have the cred to pull off raci... https://t.co/rzTqaomq0l
Neither,@Shastina_Eloff @therealroseanne I would but then I would have to listen to you
Neither,Rao
Neither,roseanne
Neither,@F_Desouche @FrDesouche La s  rie am  ricaine Roseanne annul  e par la cha  ne ABC apr  s un tweet 'raciste' de l'actric... https://t.co/GgVmT2buBF
Neither,https://t.co/dJLWcO6vlB Isn't this the same person who attacked anyone who dared criticize the Israeli government b... https://t.co/FuxVSZzJ9B
Neither,Roseanne
Anti-Roseanne,@therealroseanne You are a vile person! A disgrace to women!!
Neither,Roseanne
Neither,@Risesellie1 @JPupkies @CNN @therealroseanne FBI agent goes after Jim Comey!  https://t.co/RL1KwXDjRQ
Neither,"@aedwardslevy ""Canceled! Roseanne show is a Conner."""
Anti-Roseanne,Roseanne got another chance at the boring show
Neither,Regarding the abhorrent Roseanne issue ABC Entertainment Group president and not Wa... https://t.co/9pRvtbK4Jk
Neither,The revival of the iconic family series was a huge success despite Roseanne's regular outspoken support of Presiden... https://t.co/Ji2R1aJIKA
Anti-Roseanne,Time to Celebrate! Roseanne is out. PLEASE let The View be next!
Neither,@REALBASEDBLONDE @ABC @therealroseanne How can you insult her??
Anti-Roseanne,RoseanneTheRacist
Neither,roseanne
Neither,Roseanne
Neither,Roseanne
Neither,@michcoll Of course you guys know her much better than we do over here. I was going to watch the Roseanne comeback... https://t.co/aJOqcsksxV
Neither,@TC_resistance @therealroseanne What a pos... @TC
Neither,With Roseanne losing her gig on ABC and becoming Hollywood's persona non grata
Neither,Roseanne 'barred' from ABC after racist tweet... https://t.co/9gIx1ZJ5cm
Neither,@SchultzJan57 @mitchellreports @JoyAnnReid https://t.co/jPbksPTaFV
Neither,Hope someone comes up with the hot take 'Roseanne Barred' soon because I'm dying to see someone tweet it so I can LOL.
Neither,@MedCannabis101 @beaudyk @Sports_Politic @AlanJohnLondon @AP @therealroseanne Show had three main producers doing h... https://t.co/7dMRlNSQOZ
Neither,@soonerrick @BethB1213 @therealroseanne @ABCNetwork https://t.co/XxwqYsDwMC Lol
Neither,Roseanne
Anti-Roseanne,@TrumpsTime1 @therealroseanne Racism and hate is all Trump has...  @ABC did the right thing.
Anti-Roseanne,@therealroseanne   I'm so happy you are officially gone from show business.  Many thanks to ABC and Disney.  You're... https://t.co/SXYt7OlPS5
Anti-Roseanne,@therealroseanne go f#&amp;k yourself 'has been'
Neither,@MarkDice @FOXTV If FOX has a line up of Last Man Standing followed by Roseanne it would be the biggest ratings night on TV
Neither,https://t.co/VPrPkPfTbQ
Pro-Roseanne,@therealroseanne Not to me Sweet lady!  They've screwed us by canceling your show now!??? Fuk those people
Neither,FUCKING BINGO!!!RT @HaroldBingo: dont praise ABC
Neither,Roseanne
Pro-Roseanne,SupportRoseabbeBarr
